State,Year,Month,Value
USA,2003,Nov,5.8
USA,2003,Dec,5.7
USA,2004,Jan,5.7
USA,2004,Feb,5.6
USA,2004,Mar,5.8
USA,2004,Apr,5.6
USA,2004,May,5.6
USA,2004,Jun,5.6
USA,2004,Jul,5.5
USA,2004,Aug,5.4
USA,2004,Sep,5.4
USA,2004,Oct,5.5
USA,2004,Nov,5.4
USA,2004,Dec,5.4
USA,2005,Jan,5.3
USA,2005,Feb,5.4
USA,2005,Mar,5.2
USA,2005,Apr,5.2
USA,2005,May,5.1
USA,2005,Jun,5
USA,2005,Jul,5
USA,2005,Aug,4.9
USA,2005,Sep,5
USA,2005,Oct,5
USA,2005,Nov,5
USA,2005,Dec,4.9
USA,2006,Jan,4.7
USA,2006,Feb,4.8
USA,2006,Mar,4.7
USA,2006,Apr,4.7
USA,2006,May,4.6
USA,2006,Jun,4.6
USA,2006,Jul,4.7
USA,2006,Aug,4.7
USA,2006,Sep,4.5
USA,2006,Oct,4.4
USA,2006,Nov,4.5
USA,2006,Dec,4.4
USA,2007,Jan,4.6
USA,2007,Feb,4.5
USA,2007,Mar,4.4
USA,2007,Apr,4.5
USA,2007,May,4.4
USA,2007,Jun,4.6
USA,2007,Jul,4.7
USA,2007,Aug,4.6
USA,2007,Sep,4.7
USA,2007,Oct,4.7
USA,2007,Nov,4.7
USA,2007,Dec,5
USA,2008,Jan,5
USA,2008,Feb,4.9
USA,2008,Mar,5.1
USA,2008,Apr,5
USA,2008,May,5.4
USA,2008,Jun,5.6
USA,2008,Jul,5.8
USA,2008,Aug,6.1
USA,2008,Sep,6.1
USA,2008,Oct,6.5
USA,2008,Nov,6.8
USA,2008,Dec,7.3
USA,2009,Jan,7.8
USA,2009,Feb,8.3
USA,2009,Mar,8.7
USA,2009,Apr,9
USA,2009,May,9.4
USA,2009,Jun,9.5
USA,2009,Jul,9.5
USA,2009,Aug,9.6
USA,2009,Sep,9.8
USA,2009,Oct,10
USA,2009,Nov,9.9
USA,2009,Dec,9.9
USA,2010,Jan,9.8
USA,2010,Feb,9.8
USA,2010,Mar,9.9
USA,2010,Apr,9.9
USA,2010,May,9.6
USA,2010,Jun,9.4
USA,2010,Jul,9.4
USA,2010,Aug,9.5
USA,2010,Sep,9.5
USA,2010,Oct,9.4
USA,2010,Nov,9.8
USA,2010,Dec,9.3
USA,2011,Jan,9.1
USA,2011,Feb,9
USA,2011,Mar,9
USA,2011,Apr,9.1
USA,2011,May,9
USA,2011,Jun,9.1
USA,2011,Jul,9
USA,2011,Aug,9
USA,2011,Sep,9
USA,2011,Oct,8.8
USA,2011,Nov,8.6
USA,2011,Dec,8.5
USA,2012,Jan,8.3
USA,2012,Feb,8.3
USA,2012,Mar,8.2
USA,2012,Apr,8.2
USA,2012,May,8.2
USA,2012,Jun,8.2
USA,2012,Jul,8.2
USA,2012,Aug,8.1
USA,2012,Sep,7.8
USA,2012,Oct,7.8
USA,2012,Nov,7.7
USA,2012,Dec,7.9
USA,2013,Jan,8
USA,2013,Feb,7.7
USA,2013,Mar,7.5
USA,2013,Apr,7.6
USA,2013,May,7.5
USA,2013,Jun,7.5
USA,2013,Jul,7.3
USA,2013,Aug,7.2
USA,2013,Sep,7.2
USA,2013,Oct,7.2
USA,2013,Nov,6.9
USA,2013,Dec,6.7
USA,2014,Jan,6.6
USA,2014,Feb,6.7
USA,2014,Mar,6.7
USA,2014,Apr,6.2
USA,2014,May,6.3
USA,2014,Jun,6.1
USA,2014,Jul,6.2
USA,2014,Aug,6.1
USA,2014,Sep,5.9
USA,2014,Oct,5.7
USA,2014,Nov,5.8
USA,2014,Dec,5.6
USA,2015,Jan,5.7
